(Arenite-) Sandstone
Block- Debris Breccia
Block- lapilli- layering
Block- Lapillistone
Block- layering
Block- pebble
Block sediments
Block- tuff
Blocks
Blocky debris- pebble
Boghead- coal
Boghead- lignite
Bomb ash- layering
Bomb ash- tuff
Bomb- lapilli- layering
Bomb- Lapillistone
Bomb- layering
Bomb- Tuff
Boninite (TAS)
Bora
Borate salt rock
Bottom- breccia
Boulders
Boundstone
Brachiopod biolithite
Breccia
Brecciatic dolomite
Brecciatic limestone
Bright meta- lignite (pitch coal)
Brown- iron ore
Buchite
Calcite- Carbonatite
Calcite- Carbonatite (plutonic affinity)
Calcite- Marble
Calcite mineral aggregate
Calcitic Arenite
Calcitic Lutite
Calcitic Rudite
Calcitic Siltite
Camptonite
Cannel- coal
Cannel- lignite
Capped Quartz mineral aggregate
Carbonate
Carbonate- bearing block sediment
Carbonate- bearing blocks
Carbonate- bearing breccia
Carbonate- bearing clay
Carbonate- bearing clay sediment
Carbonate- bearing clayey debris
Carbonate- bearing clayey gravel
Carbonate- bearing clayey grus
Carbonate- bearing clayey mud
Carbonate- bearing clayey pebble
Carbonate- bearing clayey silt
Carbonate- bearing claystone
Carbonate- bearing coarse sandstone
Carbonate- bearing conglomerate
Carbonate- bearing debris
Carbonate- bearing debris sediment
Carbonate- bearing detrital blocks
Carbonate- bearing detrital clay
Carbonate- bearing detrital gravel
Carbonate- bearing detrital grus
Carbonate- bearing detrital mud
Carbonate bearing detrital pebble
Carbonate- bearing detrital pebble- blocks
Carbonate- bearing detrital sand
Carbonate- bearing detrital silt
Carbonate- bearing fine sandstone
Carbonate- bearing gravel
Carbonate- bearing gravel sediment
Carbonate- bearing gravelly debris
Carbonate- bearing gravelly grus
Carbonate- bearing gravelly mud
Carbonate- bearing gravelly pebble
Carbonate- bearing gravelly sand
Carbonate- bearing gravelly silt
Carbonate- bearing gravely clay
Carbonate- bearing grus
Carbonate- bearing grus- clay
Carbonate- bearing grus- debris
Carbonate- bearing grus- gravel
Carbonate- bearing grus- mud
Carbonate- bearing grus- pebble
Carbonate- bearing grus- sand
Carbonate- bearing grus sediment
Carbonate- bearing grus- silt
Carbonate- bearing humus
Carbonate- bearing lowland- fen turf
Carbonate- bearing medium sandstone
Carbonate- bearing mud
Carbonate- bearing mud sediment
Carbonate- bearing muddy clay
Carbonate- bearing muddy debris
Carbonate- bearing muddy gravel
Carbonate- bearing muddy grus
Carbonate- bearing muddy pebble
Carbonate- bearing muddy sand
Carbonate- bearing muddy silt
Carbonate- bearing mudstone
Carbonate- bearing organic mud
Carbonate- bearing organic sediment
Carbonate- bearing pebble
Carbonate- bearing pebble sediment
Carbonate- bearing pebbly blocks
Carbonate- bearing pebbly clay
Carbonate- bearing pebbly debris
Carbonate- bearing pebbly gravel
Carbonate- bearing pebbly grus
Carbonate- bearing pebbly mud
Carbonate- bearing pebbly sand
Carbonate- bearing pebbly silt
Carbonate- bearing sand
Carbonate- bearing sand sediment
Carbonate- bearing sandstone
Carbonate- bearing sandy debris
Carbonate- bearing sandy gravel
Carbonate- bearing sandy grus
Carbonate- bearing sandy mud
Carbonate- bearing sandy pebble
Carbonate- bearing sandy silt
Carbonate- bearing sediment
Carbonate- bearing silt
Carbonate- bearing silt sediment
Carbonate- bearing silty clay
Carbonate- bearing silty debris
Carbonate- bearing silty gravel
Carbonate- bearing silty grus
Carbonate- bearing silty pebble
Carbonate- bearing silty sand
Carbonate- bearing turf/ peat
"Carbonate- bearing, strongly humus clay"
"Carbonate- bearing, stronly humus mud"
"Carbonate- bearing, stronly humus sand"
"Carbonate- bearing, stronly humus silt"
Carbonate- free organic sediment
Carbonate- Phyllite
Carbonate- rich gangue mineralization
Carbonate- rich humus
Carbonate- rich lowland- fen turf
Carbonate- rich organic mud
Carbonate- rich sediment
Carbonate- rich turf/ peat
Carbonate rock
Carbonate rock of Dunham (1962) and Embry & Klovan (1972)
"Carbonate Rock of Folk (1959, 1962)"
Carbonate- sediment
Carbonate- Silicate- Amphibolite
Carbonate- silicate Marble (Silica- Marble)
Carbonate- silicate rock (coarse)
"Carbonate-, debris- bearing clay"
"Carbonate-, debris- bearing mud"
"Carbonate-, debris- bearing sand"
"Carbonate-, debris- bearing silt"
"Carbonate-, gravel- bearing clay"
"Carbonate-, gravel- bearing mud"
"Carbonate-, gravel- bearing sand"
"Carbonate-, gravel- bearing silt"
"Carbonate-, grus- bearing clay"
"Carbonate-, grus- bearing mud"
"Carbonate-, grus- bearing sand"
"Carbonate-, grus- bearing silt"
"Carbonate-, pebble- bearing clay"
"Carbonate-, pebble- bearing mud"
"Carbonate-, pebble- bearing sand"
"Carbonate-, pebble- bearing silt"
Carbonate-bearing siliciclastic rock
Carbonatic block sediment
Carbonatic blocks
Carbonatic breccia
Carbonatic claystone
Carbonatic coarse debris- sand
Carbonatic coarse sandstone
Carbonatic conglomerate
Carbonatic debris- sand
Carbonatic debris sediment
Carbonatic detrital blocks
Carbonatic detrital pebble- blocks
Carbonatic fine sandstone
Carbonatic gravel
Carbonatic gravel sediment
Carbonatic grus
Carbonatic grus- debris
Carbonatic grus- gravel
Carbonatic grus- pebble
Carbonatic grus- sand
Carbonatic grus sediment
Carbonatic Kimberlite
Carbonatic medium sandstone
Carbonatic muddy sand
Carbonatic mudstone
Carbonatic pebble
Carbonatic pebble sediment
Carbonatic pebbly blocks
Carbonatic Radiolarite (Silica- Carbonate)
Carbonatic sand
Carbonatic sand sediment
Carbonatic sandstone
Carbonatic sedimentary rock
Carbonatic siliciclastic rock
Carbonatic siliciclastic sedimentary rock
Carbonatic silty sand
Carbonatite
Carbonatite (plutonic)
Cataclast
Cephalopod biolithite
Charnockite (metamorphic affinity)
Charnockite (plutonic)
Chemical/biogene non-carbonate sedimentary rock
Chert
Chloride salt rock
Chlorite- Actinolite- schist
Chlorite- mica schist
Chloritoide- Phyllite
Clastic carbonatic sediment
Clastic sedimentary Carbonate
Clastic sediments
Clay (dry)
Clay- lime- composite rock
Clay- Marl
Clay- Sediment
Clayey carbonatic debris
Clayey carbonatic gravel
Clayey carbonatic grus
Clayey carbonatic pebble
Clayey debris
Clayey dolomite
Clayey gravel
Clayey grus
Clayey limestone
Clayey mud
Clayey muddy marl
Clayey pebble
Clayey silt
Clayey silty marl
Clinopyroxene- Norite
Coal
Coaly sediments
Coarse - grained latitic ash- tuff
Coarse Arkose
Coarse Feldspatic- Arenite
Coarse Feldspethic- Wacke
"Coarse- grained ah- tuff, basaltic"
Coarse- grained andesitic ash- tuff
Coarse- grained Arenite
Coarse- grained ash- layering
Coarse- grained ash- tuff
"Coarse- grained ash- tuff, basanitic"
"Coarse grained ash- tuff, dacitic"
"Coarse- grained ash- tuff, phonolitic"
"Coarse- grained ash- tuff, rhyolitic"
Coarse- grained calcitic Arenite
Coarse- grained dolomitic Arenite
Coarse- grained trachytic ash- tuff
Coarse Graywacke
Coarse Grud- Breccia
Coarse Litharenite
Coarse Lithic- Arenite
Coarse Lithic- Wacke
Coarse Quartz- Arenite
Coarse Quartz- Wacke
Coarse Sandstone
Coarse- sandy dolomite
Coarse- sandy limestone
Coarse Subfeldspatic- Arenite
Coarse Sublitharenite
Cobbles
Comatiite (TAS)
Comenditic Rhyolite/ Comendite
Comenditic Trachyte (TAS)
Conglomerate
Conglomeratic dolomite
Conglomeratic limestone
Consolidated Rock
Cooking coal
Copper- ore
Coral biolithite
Cordierit- Gneiss
Cordierite- Hornels
Coround- Hercynite- Hornfels
Crinoidal biolithite
Crystal ash- layering
Crystal ash- tuff
Dacite (QAPF)
Dacite (TAS)
Dacitic Agglomerate
Dacitic Agglutinate
"Dacitic air- fall- deposit, consolidated"
Dacitic ash- block- tuff
Dacitic ash- bomb- tuff
"Dacitic ash- flow- deposit, consolidated"
Dacitic ash- lapilli- tuff
Dacitic ash- tuff
Dacitic ash- tuff- breccia
Dacitic block- ash- tuff
Dacitic block- lapilli- tuff
Dacitic block- tuff
Dacitic bomb- ash- tuff
Dacitic bomb- lapilli- tuff
Dacitic bomb- tuff
Dacitic crystal- ash- tuff
"Dacitic Ignimbrite, consolidated"
"Dacitic Ignimbrite, unwelded, consolidated"
"Dacitic Ignimbrite, welded"
Dacitic lapilli- ash- tuff
Dacitic lapilli- block- tuff
Dacitic lapilli- bomb- tuff
Dacitic lapilli- tuff
Dacitic lapilli- tuff- breccia
Dacitic meta pyroclastic rock
Dacitic meta volcaniclastic rock
Dacitic Peperite
"Dacitic surge- deposit, consolidated"
Dacitic tuff- breccia
Dacitic volcanic rock
Dacitic volcaniclast
Debris
Debris- bearing argillaceous marl
Debris- bearing carbonatic sand
Debris- bearing clay
Debris- bearing mud
Debris- bearing muddy marl
Debris- bearing sand
Debris- bearing silt
Debris- bearing silty marl
Debris- Breccia
Decomposed litter
Detrital argillaceous marl
Detrital carbonatic gravel
Detrital carbonatic grus
Detrital carbonatic pebble
Detrital clay
Detrital gravel
Detrital grus
Detrital mud
Detrital muddy marl
Detrital pebble
Detrital sand
Detrital sediments
Detrital silt
Detrital silty marl
Diatexite
Diatomite
Diopside- Amphibolite
Diorite (QAPF)
Diorite- Aplite
Dioritic plutonic rock
Dismicrite- Limestone
Disthene- Gneiss
Disthene- Sillimanite- Gneiss
Disthene- Staurolite- Gneiss
Dolerite (diabase)
Dolerite (field classification)
Dolomite
Dolomite- bearing breccia
Dolomite- bearing claystone
Dolomite- bearing coarse sandstone
Dolomite- bearing conglomerate
Dolomite- bearing fine sandstone
Dolomite- bearing medium sandstone
Dolomite- bearing mudstone
Dolomite- bearing sandstone
Dolomite- bearing siliciclastic rock
Dolomite- Carbonatite
Dolomite- Carbonatite (plutonic affinity)
Dolomite- Marble
Dolomite- Marl
Dolomitic Arenite
Dolomitic breccia
Dolomitic claystone
Dolomitic coarse sandstone
Dolomitic conglomerate
Dolomitic fine sandstone
Dolomitic Lutite
Dolomitic medium sandstone
Dolomitic mudstone
Dolomitic Rudite
Dolomitic sandstone
Dolomitic siliciclastic rock
Dolomitic Siltite
Dull meta- lignite
Dunite
Dyke rock 
"Dyke rock, modal "
"Dyke rock, modal (field classification)"
Dykesï Diorite
Dykesï Gabbro
Dykesï Granite
Dykesï Granodiorite
Dykesï Monzodiorite
Dykesï Monzonite
Dykesï Syenite
Dykesï Tonalite
Earthy ortho- lignite
Earthy/ slaty lignite
Eclogite
Eklogite- Amphibolite
Epidote- Amphibolite
Epidote- Hornblende- Plagioclase- Gneiss
Epidote- Quartzite
Fault breccia
Feldspar mineral aggregate
Feldspar- rich gangue mineralization
Feldspathic- Wacke
Feldspatic- Arenite
Fergustite
Ferro- Carbonatite
Ferro- Carbonatite (plutonic affinity)
"Fine - grained ash- tuff, basanitic"
Fine Arkose
Fine Feldspatic- Arenite
Fine Feldspethic- Wacke
Fine- grained andesitic ash- tuff
Fine- grained Arenite
Fine- grained ash- layering
Fine- grained ash- tuff
"Fine- grained ash- tuff, basaltic"
"Fine grained ash- tuff, dacitic"
"Fine- grained ash- tuff, phonolitic"
"Fine- grained ash- tuff, rhyolitic"
Fine- grained calcitic Arenite
Fine- grained dolomitic Arenite
Fine- grained latitic ash- tuff
Fine- grained trachytic ash- tuff
Fine Graywacke
Fine Grus- Breccia
Fine Litharenite
Fine Lithic- Arenite
Fine Lithic- Wacke
"Fine Pebble, Granule"
Fine Quartz- Arenite
Fine Quartz- Wacke
Fine Sandstone
Fine- sandy dolomite
Fine- sandy limestone
Fine Subfeldspatic- Arenite
Fine Sublitharenite
Fioditic dyke rock
Flaming coal
Floatstone
Foid- dioritic plutonic rock
Foid- gabbrodic plutonic rock
Foid- rich plutonic rock
Foid- rich volcanic rock
Foid- syenitic plutonic rock
Foid-bearing Anorthosite (QAPF)
Foid-bearing Diorite (QAPF)
Foid-bearing Gabbro (QAPF)
Foid-bearing Latite (QAPF)
Foid-bearing Monzodiorite (QAPF)
Foid-bearing Monzogabbro (QAPF)
Foid-bearing Monzonite (QAPF)
Foid-bearing Syenite (QAPF)
Foid-bearing-Alkali-Feldspar-Syenite (QAPF)
Foid-bearing-alkali-Feldspar-Trachyte (QAPF)
Foid-bearing-Trachyte (QAPF)
Foid-Diorite (QAPF)
Foid-Gabbro (QAPF)
Foidite (QAPF)
Foidite (TAS)
Foiditic volcanic rock
Foiditic volcaniclast
Foid-Monzodiorite (QAPF)
Foid-Monzogabbro (QAPF)
Foid-Monzosyenite (QAPF)
Foidolitic plutonic rock
Foid-rich dyke rock
Foid-Syenite (eg. Nepheline-Syenite) (QAPF)
Fossile- bearing Micrite- Limestone
Fossile- bearing Sparite Limestone
Fourchite
Framestone
Fresh- water carbonate rock
Fusite
Gabbro (QAPF)
Gabbro- Aplite
Gabbronorite
Gabbrotic plutonic rock
Gagatite
Garnet- Albite- Phyllite
Garnet- Amphibolite
Garnet- Biotite- Gneiss
Garnet- Cordierit- Sillimanite- Gneiss
Garnet- Disthene- Gneiss
Garnet- Disthene- Sillimanite- Gneiss
Garnet- Disthene- Staurolite- Gneiss
Garnet- Gneiss
Garnet- Meta- Aplite
Garnet- mica schist
Garnet- Phyllite
Garnet- Plagioclase- Gneis
Garnet- Quartzite
Garnet- Turmaline- Meta- Aplite
Gas coal
Gas flaming coal
Gneiss
Grain- supported limestones
Grainstone
Granite (QAPF)
Granite- Aplite
Granitic plutonic rock
Granodiorite (QAPF)
Granodiorite- Aplite
Granophyr
Granulite
Granulite- Gneiss
Graphite- Gneiss
Graphite- mica schist
Graphite- Quartzite
Gravel
Gravel- bearing argillaecous marl
Gravel- bearing carbonatic sand
Gravel- bearing mud
Gravel- bearing muddy marl
Gravel- bearing sand
Gravel- bearing silt
Gravel- bearing silty marl
Gravel clay
Gravel sediments
Gravelly argillaceous marl
Gravelly carbonatic sand
Gravelly mud
Gravelly muddy marl
Gravelly sand
Gravelly silt
Gravelly silty marl
Gravely carbonatic debris
Gravely carbonatic grus
Gravely carbonatic pebble
Gravely debris
Gravely grus
Gravely pebble
Graywacke/ Wacke
Greenschist
Grus
Grus- argillaceous marl
Grus- bearing argillaceous marl
Grus- bearing carbonatic sand
Grus- bearing clay
Grus- bearing mud
Grus- bearing muddy marl
Grus- bearing sand
Grus- bearing silt
Grus- bearing silty marl
Grus- Breccia
Grus clay
Grus debris
Grus- gravel
Grus- mud
Grus- muddy marl
Grus- pebble
Grus sand
Grus- sediments
Grus- silt
Grus- silty marl
Gypsum
Gypsum dominated Pelite- Gypsum- Alternation
Halite rock
Harzburgite
Hawaiite (TAS)
High- Alumina- Basalt (TAS)
High- K- Andesite (TAS)
High- K- Basaltic- Andesite (TAS)
High- K- Dacite (TAS)
High-Mg-volcanic rocks (TAS)
Hornblende- Biotite- Gneiss
Hornblende- Gabbro
Hornblende-Peridotite
Hornblendite
Hornfels
Humic coal
Humus
Hydroclastic rock
Hydrothermal gangue mineralization
"Ignimbrite, consolidated"
"Ignimbrite, unconsolidated"
"Ignimbrite, unwelded, consolidated"
"Ignimbrite, welded"
Ijolite
Intermediate volcanic rock
Intraclastic Micrite- Limestone
Intraclastic Sparite- Limestone
Intramicrite- Limestone
Intrasparite- Limestone
Iron ore
Italite
K- Trachybasalt (TAS)
Kersanite
Kimberlite
Klinopyroxenite
"Lahar, consolidated"
"Lahar, unconsolidated"
Lamprophyr (field classification)
Lamprophyre
Lamprophyric- carbonatic dyke rock
Lapilli ash- tuff
Lapilli- block- layering
Lapilli- block- tuff
Lapilli- bomb- layering
Lapilli- Bomb- Tuff
Lapilli- layering
Lapilli- tuff- breccia
Lapillie ash- layering
Lapillistone
Latite (QAPF)
Latite (TAS)
Latitic aggglutinate
Latitic agglomerate
"Latitic air- flow- deposit, consolidated"
Latitic ash- block- tuff
Latitic ash- bomb- tuff
"Latitic ash- flow- deposit, consolidated"
Latitic ash- lapilli- tuff
Latitic ash- tuff
Latitic ash- tuff- breccia
Latitic block- ash- tuff
Latitic block- lapilli- tuff
Latitic block- tuff
Latitic bomb- ash- tuff
Latitic bomb- lapilli- tuff
Latitic bomb- tuff
Latitic crystal- ash- tuff
"Latitic Ignimbrite, consolidated"
"Latitic Ignimbrite, unwelded, consolidated"
"Latitic Ignimbrite, welded"
Latitic lapilli- ash- tuff
Latitic lapilli- block- tuff
Latitic lapilli- bomb- tuff
Latitic lapilli- tuff
Latitic lapilli- tuff- breccia
Latitic Peperite
"Latitic surge- deposit, consolidated"
Latitic tuff- breccia
Latitic volcanic rock
Lead- zinc- ore
Lean coal
Leucite- Nepheline- Dolerite
Leucitite (QAPF)
Leucitolite (QAPF)
Leuco- Alkali- Basalt
Leucobasalt (QAPF)
Lherzolite
Lignite
Limburgite
Lime-Marl
Limestone
Limestone dominated Limestone- Marl- Alteration
Limestone- Marl- Alteration
Liptobiolote
Litharenite
Lithic- Arenite
Lithic Wacke
Litter
Low- K- Andesite (TAS)
Low- K- Basaltic Andesite (TAS)
Low- K- Dacite (TAS)
Lowland fen- turf
Lutite
Lydite (Alaun- Silica- schist)
Magmatic rock
Magnetite- Quartzite
Malignite
Manganese- ore 
Marbl
Marl
Marl- Claystone
Marl- Dolomite
Marl dominated Limestone- Marl- Alteration
Marl- Limestone
Marly Claystone
Marly Dolomite
Marly Limestone
Marol dominated Pelite- Marl- Alteration
Medium Arkose
Medium Feldspatic- Arenite
Medium Feldspethic- Wacke
Medium- grained Arenite
Medium- grained calcitic Arenite
Medium- grained dolomitic Arenite
Medium Graywacke
Medium Grus- Breccia
Medium- K- Andesite (TAS)
Medium- K- Basaltic- Andesite (TAS)
Medium- K- Dacite (TAS)
Medium Litharenite
Medium Lithic- Arenite
Medium Lithic- Wacke
Medium Quartz- Arenite
Medium Quartz- Wacke
Medium Sandstone
Medium- sandy dolomite
Medium- sandy limestone
Medium Subfeldspatic- Arenite
Medium Sublitharenite
Medium to coarse pebble
Meimechite (TAS)
Mela-Andesite (QAPF)
Melange
Melilite-Nephelinite (QAPF)
Melilithite
Melilithite- bearing ultramafic rock
Melilitic Lamprophyr
Melilolite
Melteigite
Meta- Alkali- Basalt
Meta- Andesite
Meta- Anthracite
Meta- Aplite
Meta- Arkose
Meta- Basalt
Meta- Basanite
Meta- Conglomerate
Meta- Dacite
Meta- Diorite
Meta- Dolerite
Meta- Gabbro
Meta- Granite
Meta- Granodiorite
Meta- Graywacke
Meta- igneous rock
Meta- lignite (black lignite)
Meta- Pegmatite
Meta- Pelite
Meta- Phonolite
Meta- Pikrite
Meta- Plutonite
Meta- Psammite
Meta- Psephite
Meta pyroclastic rock
Meta- Rhyodacite
Meta- Rhyolite
Meta- sedimentary rock
Meta- Trachyte
Meta- Tuffite
Meta- Ultramafic rock
Meta volcanic rock
Meta volcaniclastic rock
Metacarbonate rock
Metafelsic Granulite
Metafelsic rocks
Metamafic Granulite
Metamafic Hornfels
Metamafic rocks
Metamorphic Carbonate- silicate rock
Metamorphic dyke rock
Metamorphic rock
"Metamorphic rock (after chemistry, fabric, mineral content)"
Metamorphic rock (after educt)
Metatexite
Mica- Gneiss
Mica schist
Micrite- Limestone
Microdiorite
Microgabbro
Microgranite
Microgranodiorite
Micromonzodiorite
Micromonzonite
Microsyenite
Microtonalite
Migmatite
Mikritic Limestone 
Milky Quartz mineral aggregate
Minette
Missourite
Mixed- salt rock
Monchiquite
Monzodiorite (QAPF)
Monzodiorite- Aplite
Monzogabbro (QAPF)
Monzogranite
Monzonite (QAPF)
Monzonite- Aplite
"Mud (""dry"")"
Mud- supported limestone
Muddy argillaceous marl
Muddy carbonatic debris
Muddy carbonatic gravel
Muddy carbonatic grus
Muddy carbonatic pebble
Muddy clay
Muddy debris
Muddy dolomite
Muddy gravel
Muddy grus
Muddy limestone
Muddy marl
Muddy marl sediment
Muddy pebble
Muddy sand
Muddy sediments
Muddy silt
Muddy silty marl
Mudstone
Mugearite (TAS)
Muscovite- Biotite- Garnet- Gneiss
Muscovite- Biotite- Gneiss
Muscovite- Biotite- mica schist (two- mica schist)
Muscovite- Chlorite- mica schist
Muscovite- Garnet- Gneiss
Muscovite- Gneiss
Muscovite- Quartzite
Mylonite
Natro- Carbonatite
Nephelinite (QAPF)
Nephelinite (TAS)
Nephelinolite (QAPF)
Nickel- ore
Nitrate salt rock
Non- ferrous metal ore
Non-Carbonate salts
Norite
Normal mud
Obsidian
Oil Shale
Olivine- basalt
Olivine- basaltic volcanic rock
Olivine- Fels
Olivine- Gabbro
Olivine- Gabbronorite
Olivine- Hornblende- Pyroxenite
Olivine- Hornblendite
Olivine- Klinopyroxenite
Olivine- Melilithite
Olivine- Melilitolite
Olivine- Norite
Olivine- Orthopyroxenite
Olivine- Pyroxene- Hornblendite
Olivine- Pyroxene- Melilitolite
Olivine- Pyroxenite
Olivine- Websterite
Oncolithic rock
Ooid- bearing Micrite Limestone
Ooid- bearing Sparite- Limestone
Ooidlothic rock
Oomicrite- Limestone
Oosparite- Limestone
Ore
Organic mud
Organic sediment
Ortho- lignite (brown lignite)
Orthopyroxene- Gabbro
Orthopyroxenite
Packstone
Pantelleritic Rhyolite/ Pantellerite
Pantellitic Trachyte (TAS)
Pebbel- bearing clay
Pebble
Pebble- bearing argillaceous marl
Pebble- bearing carbonatic sand
Pebble- bearing mud
Pebble- bearing muddy marl
Pebble- bearing sand
Pebble- bearing silt
Pebble- bearing silty marl
Pebbly argillaceous marl
Pebbly carbonatic debris
Pebbly carbonatic gravel
Pebbly carbonatic grus
Pebbly carbonatic sand
Pebbly clay
Pebbly conglomerate
Pebbly debris
Pebbly gravel
Pebbly grus
Pebbly mud
Pebbly muddy marl
Pebbly sand
Pebbly sediments
Pebbly silt
Pebbly silty marl
Pegmatite of nephelinitic composition
"Pegmatite, granitoidic composition"
Pelite
Pelite dominated Pelite- Gypsum- Alternation
Pelite dominated Pelite- Marl- Alteration
Pelite- dominated Sandstone- Pelite- Alternation
Pelite- Gypsum- Alternation
Pelite- Marl- Alteration
Pelmicrite- Limestone
Peloid- bearing Micrite- Limestone
Peloid- bearing Sparite- Limestone
Pelsparite- Limestone
Peperite
Peralkalic Trachyte (TAS)
Peralkaline Meta- Rhyolite
Peridotite
Petroleum
Phonlitic ash- lapilli- tuff
Phonolite (QAPF)
Phonolite (TAS)
Phonolitic agglomerate
Phonolitic agglutinate
"Phonolitic air- fall- deposit, consolidated"
Phonolitic ash- block- tuff
"Phonolitic ash- flow- deposit, consolidated"
Phonolitic ash- tuff
Phonolitic ash- tuff- breccia
Phonolitic block- ash- tuff
Phonolitic block- lapilli- tuff
Phonolitic block- tuff
Phonolitic bomb- ash- tuff
Phonolitic bomb- lapilli- tuff
Phonolitic bomb- tuff
